algoritmo,archivo,patron,comparaciones,accesos_memoria,tiempo_ms
boyermoore,docs/doc1.html,documento,109,605,0.005
boyermoore,docs/doc1.html,texto,133,739,0.006
boyermoore,docs/doc1.html,analisis,80,550,0.004
boyermoore,docs/doc1.html,puntuacion,87,574,0.005
boyermoore,docs/doc1.html,caracteres,72,526,0.004
boyermoore,docs/text3.txt,documento,156,841,0.005
boyermoore,docs/text3.txt,este,303,1376,0.009
boyermoore,docs/text3.txt,este documento,119,710,0.004
boyermoore,docs/text3.txt,un ReCIente,118,701,0.005
boyermoore,docs/text3.txt,ReCIente,162,840,0.006
boyermoore,docs/text3.txt,ReCIente,162,840,0.009
boyermoore,docs/text3.txt,ReCIente,162,840,0.007
boyermoore,docs/text3.txt,reciente,172,882,0.013
boyermoore,docs/text3.txt,un reciente,137,765,0.012
boyermoore,docs/doc1.html,palabra,81,575,0.004
boyermoore,docs/archivo.txt,palabra,13,303,0.002
