algoritmo,archivo,patron,comparaciones,accesos_memoria,tiempo_ms
shiftand,docs/doc1.html,documento,450,459,0.005
shiftand,docs/doc1.html,texto,450,455,0.003
shiftand,docs/doc1.html,analisis,450,458,0.004
shiftand,docs/doc1.html,puntuacion,450,460,0.005
shiftand,docs/doc1.html,caracteres,450,460,0.005
shiftand,docs/text3.txt,documento,906,915,0.005
shiftand,docs/text3.txt,este,906,910,0.011
shiftand,docs/text3.txt,este documento,906,920,0.006
shiftand,docs/text3.txt,un ReCIente,906,917,0.004
shiftand,docs/text3.txt,ReCIente,906,914,0.005
shiftand,docs/text3.txt,ReCIente,906,914,0.005
shiftand,docs/text3.txt,reciente,906,914,0.008
shiftand,docs/text3.txt,un reciente,906,917,0.007
